Global Logger,9/10/2015,2:51:32 PM
Date, Time, Feet, Volts, Pulses
9/10/15, 14:48:03, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:03, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:03, 1.444620, 15.536291, 0.000000
9/10/15, 14:48:03, 1.444620, 15.536291, 0.000000
9/10/15, 14:48:03, 1.445566, 15.536291, 0.000000
9/10/15, 14:48:03, 1.446513, 15.536291, 0.000000
9/10/15, 14:48:03, 1.445566, 15.536291, 0.000000
9/10/15, 14:48:03, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:03, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:03, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:04, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:04, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:04, 1.442726, 15.542447, 0.000000
9/10/15, 14:48:04, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:04, 1.444620, 15.536291, 0.000000
9/10/15, 14:48:04, 1.444620, 15.536291, 0.000000
9/10/15, 14:48:04, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:04, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:04, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:04, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:05, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:05, 1.443673, 15.542447, 0.000000
9/10/15, 14:48:05, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:05, 1.445566, 15.536291, 0.000000
9/10/15, 14:48:05, 1.445566, 15.536291, 0.000000
9/10/15, 14:48:05, 1.445566, 15.536291, 0.000000
9/10/15, 14:48:05, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:05, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:05, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:05, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:06, 1.442726, 15.542447, 0.000000
9/10/15, 14:48:06, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:06, 1.442726, 15.530136, 0.000000
9/10/15, 14:48:06, 1.444620, 15.536291, 0.000000
9/10/15, 14:48:06, 1.444620, 15.536291, 0.000000
9/10/15, 14:48:06, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:06, 1.443673, 15.542447, 0.000000
9/10/15, 14:48:06, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:06, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:06, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:07, 1.443673, 15.530136, 0.000000
9/10/15, 14:48:07, 1.444620, 15.536291, 0.000000
9/10/15, 14:48:07, 1.445566, 15.536291, 0.000000
9/10/15, 14:48:07, 1.446513, 15.536291, 0.000000
9/10/15, 14:48:07, 1.445566, 15.536291, 0.000000
9/10/15, 14:48:07, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:07, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:07, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:07, 1.441780, 15.536291, 0.000000
9/10/15, 14:48:07, 1.441780, 15.536291, 0.000000
9/10/15, 14:48:08, 1.441780, 15.536291, 0.000000
9/10/15, 14:48:08, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:08, 1.444620, 15.536291, 0.000000
9/10/15, 14:48:08, 1.445566, 15.536291, 0.000000
9/10/15, 14:48:08, 1.445566, 15.536291, 0.000000
9/10/15, 14:48:08, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:08, 1.444620, 15.536291, 0.000000
9/10/15, 14:48:08, 1.444620, 15.536291, 0.000000
9/10/15, 14:48:08, 1.443673, 15.536291, 0.000000
9/10/15, 14:48:08, 1.442726, 15.536291, 0.000000
9/10/15, 14:48:09, 1.443673, 15.530136, 0.000000
