Global Logger,9/9/2015,11:19:09 AM
Date Time, Feet, Volts, Pulses
9/9/15 11:05:28, 0.447775, 16.096435, 0.000000
9/9/15 11:05:28, 0.449669, 16.090280, 0.000000
9/9/15 11:05:28, 0.449669, 16.090280, 0.000000
9/9/15 11:05:28, 0.449669, 16.090280, 0.000000
9/9/15 11:05:28, 0.447775, 16.090280, 0.000000
9/9/15 11:05:28, 0.448722, 16.096435, 0.000000
9/9/15 11:05:28, 0.447775, 16.090280, 0.000000
9/9/15 11:05:28, 0.447775, 16.090280, 0.000000
9/9/15 11:05:28, 0.446829, 16.096435, 0.000000
9/9/15 11:05:28, 0.445882, 16.090280, 0.000000
9/9/15 11:05:29, 0.447775, 16.090280, 0.000000
9/9/15 11:05:29, 0.447775, 16.090280, 0.000000
9/9/15 11:05:29, 0.447775, 16.090280, 0.000000
9/9/15 11:05:29, 0.446829, 16.090280, 0.000000
9/9/15 11:05:29, 0.445882, 16.090280, 0.000000
9/9/15 11:05:29, 0.445882, 16.090280, 0.000000
9/9/15 11:05:29, 0.445882, 16.090280, 0.000000
9/9/15 11:05:29, 0.445882, 16.090280, 0.000000
9/9/15 11:05:29, 0.445882, 16.090280, 0.000000
9/9/15 11:05:29, 0.446829, 16.090280, 0.000000
9/9/15 11:05:30, 0.447775, 16.090280, 0.000000
9/9/15 11:05:30, 0.447775, 16.090280, 0.000000
9/9/15 11:05:30, 0.446829, 16.090280, 0.000000
9/9/15 11:05:30, 0.446829, 16.090280, 0.000000
9/9/15 11:05:30, 0.445882, 16.090280, 0.000000
9/9/15 11:05:30, 0.445882, 16.090280, 0.000000
9/9/15 11:05:30, 0.445882, 16.090280, 0.000000
9/9/15 11:05:30, 0.445882, 16.090280, 0.000000
9/9/15 11:05:30, 0.446829, 16.096435, 0.000000
9/9/15 11:05:30, 0.446829, 16.090280, 0.000000
9/9/15 11:05:31, 0.447775, 16.090280, 0.000000
9/9/15 11:05:31, 0.447775, 16.090280, 0.000000
9/9/15 11:05:31, 0.447775, 16.090280, 0.000000
9/9/15 11:05:31, 0.446829, 16.090280, 0.000000
9/9/15 11:05:31, 0.445882, 16.090280, 0.000000
9/9/15 11:05:31, 0.445882, 16.090280, 0.000000
9/9/15 11:05:31, 0.446829, 16.090280, 0.000000
9/9/15 11:05:31, 0.446829, 16.096435, 0.000000
9/9/15 11:05:31, 0.445882, 16.090280, 0.000000
9/9/15 11:05:31, 0.446829, 16.090280, 0.000000
9/9/15 11:05:32, 0.447775, 16.084124, 0.000000
9/9/15 11:05:32, 0.447775, 16.090280, 0.000000
9/9/15 11:05:32, 0.447775, 16.090280, 0.000000
9/9/15 11:05:32, 0.447775, 16.090280, 0.000000
9/9/15 11:05:32, 0.446829, 16.090280, 0.000000
9/9/15 11:05:32, 0.445882, 16.090280, 0.000000
9/9/15 11:05:32, 0.445882, 16.090280, 0.000000
9/9/15 11:05:32, 0.445882, 16.090280, 0.000000
9/9/15 11:05:32, 0.445882, 16.090280, 0.000000
9/9/15 11:05:32, 0.446829, 16.096435, 0.000000
9/9/15 11:05:33, 0.446829, 16.084124, 0.000000
9/9/15 11:05:33, 0.446829, 16.090280, 0.000000
9/9/15 11:05:33, 0.446829, 16.096435, 0.000000
9/9/15 11:05:33, 0.445882, 16.090280, 0.000000
9/9/15 11:05:33, 0.445882, 16.090280, 0.000000
9/9/15 11:05:33, 0.444935, 16.090280, 0.000000
9/9/15 11:05:33, 0.445882, 16.096435, 0.000000
9/9/15 11:05:33, 0.445882, 16.090280, 0.000000
9/9/15 11:05:33, 0.445882, 16.090280, 0.000000
9/9/15 11:05:33, 0.446829, 16.090280, 0.000000
9/9/15 11:05:34, 0.448722, 16.090280, 0.000000
9/9/15 11:05:34, 0.447775, 16.090280, 0.000000
9/9/15 11:05:34, 0.447775, 16.090280, 0.000000
9/9/15 11:05:34, 0.446829, 16.090280, 0.000000
9/9/15 11:05:34, 0.446829, 16.090280, 0.000000
9/9/15 11:05:34, 0.445882, 16.090280, 0.000000
9/9/15 11:05:34, 0.446829, 16.090280, 0.000000
9/9/15 11:05:34, 0.446829, 16.084124, 0.000000
9/9/15 11:05:34, 0.445882, 16.090280, 0.000000
9/9/15 11:05:34, 0.446829, 16.090280, 0.000000
9/9/15 11:05:35, 0.449669, 16.090280, 0.000000
9/9/15 11:05:35, 0.447775, 16.090280, 0.000000
9/9/15 11:05:35, 0.448722, 16.090280, 0.000000
9/9/15 11:05:35, 0.447775, 16.096435, 0.000000
9/9/15 11:05:35, 0.446829, 16.090280, 0.000000
9/9/15 11:05:35, 0.445882, 16.090280, 0.000000
9/9/15 11:05:35, 0.445882, 16.090280, 0.000000
9/9/15 11:05:35, 0.446829, 16.090280, 0.000000
9/9/15 11:05:35, 0.446829, 16.096435, 0.000000
9/9/15 11:05:35, 0.445882, 16.090280, 0.000000
9/9/15 11:05:36, 0.449669, 16.090280, 0.000000
9/9/15 11:05:36, 0.447775, 16.090280, 0.000000
9/9/15 11:05:36, 0.447775, 16.090280, 0.000000
9/9/15 11:05:36, 0.446829, 16.090280, 0.000000
9/9/15 11:05:36, 0.446829, 16.090280, 0.000000
9/9/15 11:05:36, 0.445882, 16.090280, 0.000000
9/9/15 11:05:36, 0.444935, 16.090280, 0.000000
9/9/15 11:05:36, 0.446829, 16.090280, 0.000000
9/9/15 11:05:36, 0.445882, 16.090280, 0.000000
9/9/15 11:05:36, 0.445882, 16.090280, 0.000000
9/9/15 11:05:37, 0.449669, 16.090280, 0.000000
9/9/15 11:05:37, 0.447775, 16.090280, 0.000000
9/9/15 11:05:37, 0.447775, 16.090280, 0.000000
9/9/15 11:05:37, 0.447775, 16.090280, 0.000000
9/9/15 11:05:37, 0.446829, 16.090280, 0.000000
9/9/15 11:05:37, 0.445882, 16.090280, 0.000000
9/9/15 11:05:37, 0.445882, 16.090280, 0.000000
